     0: >>> E[0:00:00]-R[?]: Return=     -1020, Steps=30.0, Features = 1000
    10: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    20: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    30: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    40: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    50: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    60: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    70: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    80: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    90: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
   100: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
Total Experiment Duration 0:00:00
     0: >>> E[0:00:00]-R[?]: Return=     -1020, Steps=30.0, Features = 1000
    10: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    20: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    30: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    40: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    50: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    60: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    70: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    80: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    90: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
   100: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
Total Experiment Duration 0:00:00
     0: >>> E[0:00:00]-R[?]: Return=     -1020, Steps=30.0, Features = 1000
    10: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    20: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    30: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    40: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    50: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    60: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    70: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    80: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    90: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
   100: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
Total Experiment Duration 0:00:00
     0: >>> E[0:00:00]-R[?]: Return=     -1020, Steps=30.0, Features = 1000
    10: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    20: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    30: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    40: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    50: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    60: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    70: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    80: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    90: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
   100: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
Total Experiment Duration 0:00:00
     0: >>> E[0:00:00]-R[?]: Return=     -1020, Steps=30.0, Features = 1000
    10: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    20: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    30: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    40: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    50: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    60: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    70: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    80: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    90: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
   100: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
Total Experiment Duration 0:00:00
     0: >>> E[0:00:00]-R[?]: Return=     -1020, Steps=30.0, Features = 1000
    10: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    20: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    30: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    40: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    50: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=     -1020, Steps=30.0, Features = 1000
    10: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    20: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    30: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=     -1020, Steps=30.0, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=     -1020, Steps=30.0, Features = 1000
    10: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    20: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=     -1020, Steps=30.0, Features = 1000
    10: >>> E[0:00:00]-R[0:00:01]: Return=     -1020, Steps=30.0, Features = 1000
    20: >>> E[0:00:00]-R[0:00:01]: Return=     -1020, Steps=30.0, Features = 1000
    30: >>> E[0:00:00]-R[0:00:01]: Return=     -1020, Steps=30.0, Features = 1000
    40: >>> E[0:00:00]-R[0:00:01]: Return=     -1020, Steps=30.0, Features = 1000
    50: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    60: >>> E[0:00:01]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    70: >>> E[0:00:01]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    80: >>> E[0:00:01]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    90: >>> E[0:00:01]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
   100: >>> E[0:00:01]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
Total Experiment Duration 0:00:01
    30: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    40: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    50: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    60: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    70: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    80: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
    90: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
   100: >>> E[0:00:00]-R[0:00:00]: Return=     -1020, Steps=30.0, Features = 1000
Total Experiment Duration 0:00:00
     0: >>> E[0:00:00]-R[?]: Return=     -1507, Steps=30.0, Features = 1000
    10: >>> E[0:00:10]-R[0:01:26]: Return=     -1507, Steps=30.0, Features = 1000
    20: >>> E[0:00:19]-R[0:01:15]: Return=     -1507, Steps=30.0, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=     -1037, Steps=100.0, Features = 1000
    10: >>> E[0:00:00]-R[0:00:01]: Return=     -1037, Steps=100.0, Features = 1000
    20: >>> E[0:00:00]-R[0:00:01]: Return=     -1037, Steps=100.0, Features = 1000
    30: >>> E[0:00:00]-R[0:00:01]: Return=     -1037, Steps=100.0, Features = 1000
    40: >>> E[0:00:01]-R[0:00:01]: Return=     -1037, Steps=100.0, Features = 1000
    50: >>> E[0:00:01]-R[0:00:01]: Return=     -1037, Steps=100.0, Features = 1000
    60: >>> E[0:00:01]-R[0:00:01]: Return=     -1037, Steps=100.0, Features = 1000
    70: >>> E[0:00:01]-R[0:00:00]: Return=     -1037, Steps=100.0, Features = 1000
    80: >>> E[0:00:01]-R[0:00:00]: Return=     -1037, Steps=100.0, Features = 1000
    90: >>> E[0:00:01]-R[0:00:00]: Return=     -1037, Steps=100.0, Features = 1000
   100: >>> E[0:00:01]-R[0:00:00]: Return=     -1037, Steps=100.0, Features = 1000
Total Experiment Duration 0:00:01
     0: >>> E[0:00:00]-R[?]: Return=     -2161, Steps=100.0, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=     -4139, Steps=100.0, Features = 1000
    10: >>> E[0:00:10]-R[0:01:34]: Return=     -3114, Steps=100.0, Features = 1000
    20: >>> E[0:00:18]-R[0:01:11]: Return=     -1087, Steps=100.0, Features = 1000
    30: >>> E[0:00:25]-R[0:00:59]: Return=     -7452, Steps=100.0, Features = 1000
    40: >>> E[0:00:33]-R[0:00:49]: Return=     -7415, Steps=100.0, Features = 1000
    50: >>> E[0:00:40]-R[0:00:40]: Return=    -399.5, Steps=59.0, Features = 1000
    60: >>> E[0:00:48]-R[0:00:32]: Return=    -652.1, Steps=100.0, Features = 1000
    70: >>> E[0:00:55]-R[0:00:24]: Return=     -2939, Steps=100.0, Features = 1000
    80: >>> E[0:01:03]-R[0:00:16]: Return=     -1838, Steps=100.0, Features = 1000
    90: >>> E[0:01:11]-R[0:00:08]: Return=     -2980, Steps=100.0, Features = 1000
   100: E[0:01:19]-R[0:00:00]: Return=     -2566, Steps= 100, Features = 1000
   100: >>> E[0:01:19]-R[0:00:00]: Return=     -1902, Steps=100.0, Features = 1000
Total Experiment Duration 0:01:19
     0: >>> E[0:00:00]-R[?]: Return=     -2640, Steps=100.0, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=     -2640, Steps=100.0, Features = 1000
    10: >>> E[0:00:09]-R[0:01:25]: Return=     -6466, Steps=100.0, Features = 1000
    20: >>> E[0:00:18]-R[0:01:13]: Return=     -6280, Steps=100.0, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=     -2269, Steps=100.0, Features = 1000
    10: >>> E[0:00:07]-R[0:01:03]: Return=    -61.68, Steps=23.0, Features = 1000
    20: >>> E[0:00:13]-R[0:00:53]: Return=     -2316, Steps=100.0, Features = 1000
    30: >>> E[0:00:22]-R[0:00:52]: Return=     -4482, Steps=100.0, Features = 1000
    40: >>> E[0:00:32]-R[0:00:48]: Return=     -4708, Steps=100.0, Features = 1000
    50: >>> E[0:00:41]-R[0:00:41]: Return=     -4482, Steps=100.0, Features = 1000
    60: >>> E[0:00:51]-R[0:00:34]: Return=    -162.3, Steps=100.0, Features = 1000
    70: >>> E[0:01:02]-R[0:00:26]: Return=     -6161, Steps=100.0, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=     -2954, Steps=100.0, Features = 1000
    10: >>> E[0:00:07]-R[0:01:06]: Return=    -163.2, Steps=100.0, Features = 1000
    20: >>> E[0:00:14]-R[0:00:56]: Return=     -5798, Steps=100.0, Features = 1000
    30: >>> E[0:00:21]-R[0:00:49]: Return=    -408.1, Steps=100.0, Features = 1000
    40: >>> E[0:00:28]-R[0:00:42]: Return=    -53.96, Steps=17.0, Features = 1000
    50: >>> E[0:00:35]-R[0:00:35]: Return=    -120.3, Steps=100.0, Features = 1000
    60: >>> E[0:00:42]-R[0:00:28]: Return=    -328.6, Steps=100.0, Features = 1000
    70: >>> E[0:00:49]-R[0:00:21]: Return=    -146.5, Steps=100.0, Features = 1000
    80: E[0:00:56]-R[0:00:14]: Return=    -378.1, Steps=  80, Features = 1000
    80: >>> E[0:00:56]-R[0:00:14]: Return=    -351.1, Steps=100.0, Features = 1000
    90: >>> E[0:01:04]-R[0:00:07]: Return=      -325, Steps=100.0, Features = 1000
   100: >>> E[0:01:11]-R[0:00:00]: Return=      -325, Steps=100.0, Features = 1000
Total Experiment Duration 0:01:11
     0: >>> E[0:00:00]-R[?]: Return=     -1013, Steps=100.0, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=     -1013, Steps=100.0, Features = 1000
    10: >>> E[0:00:10]-R[0:01:34]: Return=    -162.7, Steps=100.0, Features = 1000
    20: >>> E[0:00:20]-R[0:01:20]: Return=    -67.29, Steps=29.0, Features = 1000
    22: E[0:00:22]-R[0:01:18]: Return=    -110.2, Steps=  22, Features = 1000
    30: >>> E[0:00:31]-R[0:01:12]: Return=    -296.2, Steps=100.0, Features = 1000
    40: >>> E[0:00:41]-R[0:01:01]: Return=    -50.66, Steps=37.0, Features = 1000
    41: E[0:00:42]-R[0:01:00]: Return=    -100.3, Steps=  19, Features = 1000
    50: >>> E[0:00:52]-R[0:00:52]: Return=    -84.41, Steps=100.0, Features = 1000
    60: >>> E[0:00:59]-R[0:00:40]: Return=    -63.93, Steps=100.0, Features = 1000
    70: >>> E[0:01:07]-R[0:00:29]: Return=    -6.751, Steps=11.0, Features = 1000
    80: >>> E[0:01:15]-R[0:00:19]: Return=    -255.5, Steps=100.0, Features = 1000
    90: >>> E[0:01:23]-R[0:00:09]: Return=    -343.6, Steps=100.0, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=     -1013, Steps=100.0, Features = 1000
    10: >>> E[0:00:10]-R[0:01:30]: Return=    -162.7, Steps=100.0, Features = 1000
    20: >>> E[0:00:19]-R[0:01:18]: Return=    -67.29, Steps=29.0, Features = 1000
    22: E[0:00:21]-R[0:01:16]: Return=    -110.2, Steps=  22, Features = 1000
    30: >>> E[0:00:30]-R[0:01:10]: Return=    -296.2, Steps=100.0, Features = 1000
    40: >>> E[0:00:40]-R[0:01:00]: Return=    -50.66, Steps=37.0, Features = 1000
    50: >>> E[0:00:51]-R[0:00:51]: Return=     -84.4, Steps=100.0, Features = 1000
    60: >>> E[0:01:01]-R[0:00:40]: Return=    -63.88, Steps=100.0, Features = 1000
    70: >>> E[0:01:11]-R[0:00:30]: Return=    -6.751, Steps=11.0, Features = 1000
    80: >>> E[0:01:22]-R[0:00:21]: Return=    -255.4, Steps=100.0, Features = 1000
    90: >>> E[0:01:33]-R[0:00:10]: Return=    -343.6, Steps=100.0, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=    -990.4, Steps=100.0, Features = 1000
    10: >>> E[0:00:00]-R[0:00:00]: Return=    -990.4, Steps=100.0, Features = 1000
    20: >>> E[0:00:00]-R[0:00:00]: Return=    -990.4, Steps=100.0, Features = 1000
    30: >>> E[0:00:00]-R[0:00:00]: Return=    -990.4, Steps=100.0, Features = 1000
    40: >>> E[0:00:00]-R[0:00:00]: Return=    -990.4, Steps=100.0, Features = 1000
    50: >>> E[0:00:00]-R[0:00:00]: Return=    -990.4, Steps=100.0, Features = 1000
    60: >>> E[0:00:00]-R[0:00:00]: Return=    -990.4, Steps=100.0, Features = 1000
    70: >>> E[0:00:00]-R[0:00:00]: Return=    -990.4, Steps=100.0, Features = 1000
    80: >>> E[0:00:00]-R[0:00:00]: Return=    -990.4, Steps=100.0, Features = 1000
    90: >>> E[0:00:00]-R[0:00:00]: Return=    -990.4, Steps=100.0, Features = 1000
   100: >>> E[0:00:00]-R[0:00:00]: Return=    -990.4, Steps=100.0, Features = 1000
Total Experiment Duration 0:00:00
     0: >>> E[0:00:00]-R[?]: Return=    -799.8, Steps=100.0, Features = 1000
    10: >>> E[0:00:07]-R[0:01:07]: Return=    -449.2, Steps=100.0, Features = 1000
    20: >>> E[0:00:15]-R[0:00:59]: Return=    -489.8, Steps=100.0, Features = 1000
    30: >>> E[0:00:22]-R[0:00:52]: Return=     -1123, Steps=100.0, Features = 1000
    40: >>> E[0:00:30]-R[0:00:46]: Return=    -786.9, Steps=100.0, Features = 1000
    50: >>> E[0:00:39]-R[0:00:39]: Return=    -520.6, Steps=100.0, Features = 1000
    60: >>> E[0:00:48]-R[0:00:32]: Return=    -767.1, Steps=100.0, Features = 1000
    70: >>> E[0:00:57]-R[0:00:25]: Return=      -461, Steps=100.0, Features = 1000
    80: >>> E[0:01:07]-R[0:00:17]: Return=    -489.8, Steps=100.0, Features = 1000
    90: >>> E[0:01:18]-R[0:00:09]: Return=     -1239, Steps=100.0, Features = 1000
   100: E[0:01:29]-R[0:00:00]: Return=      -819, Steps= 100, Features = 1000
   100: >>> E[0:01:29]-R[0:00:00]: Return=     -1445, Steps=100.0, Features = 1000
Total Experiment Duration 0:01:29
     0: >>> E[0:00:00]-R[?]: Return=     -1013, Steps=100.0, Features = 1000
    10: >>> E[0:00:08]-R[0:01:09]: Return=    -246.3, Steps=100.0, Features = 1000
    20: >>> E[0:00:17]-R[0:01:09]: Return=     -3571, Steps=100.0, Features = 1000
    30: >>> E[0:00:25]-R[0:00:58]: Return=     -3141, Steps=100.0, Features = 1000
    40: >>> E[0:00:33]-R[0:00:50]: Return=    -473.3, Steps=100.0, Features = 1000
    50: >>> E[0:00:42]-R[0:00:42]: Return=    -473.3, Steps=100.0, Features = 1000
    60: >>> E[0:00:51]-R[0:00:34]: Return=    -473.4, Steps=100.0, Features = 1000
    70: >>> E[0:01:00]-R[0:00:26]: Return=    -941.6, Steps=100.0, Features = 1000
    80: >>> E[0:01:10]-R[0:00:17]: Return=    -810.9, Steps=100.0, Features = 1000
    90: >>> E[0:01:20]-R[0:00:09]: Return=    -710.8, Steps=100.0, Features = 1000
   100: E[0:01:31]-R[0:00:00]: Return=     -1590, Steps= 100, Features = 1000
   100: >>> E[0:01:31]-R[0:00:00]: Return=    -487.9, Steps=100.0, Features = 1000
Total Experiment Duration 0:01:31
     0: >>> E[0:00:00]-R[?]: Return=     -1013, Steps=100.0, Features = 1000
    10: >>> E[0:00:08]-R[0:01:09]: Return=      -246, Steps=100.0, Features = 1000
    20: >>> E[0:00:15]-R[0:01:00]: Return=     -3571, Steps=100.0, Features = 1000
    30: >>> E[0:00:23]-R[0:00:53]: Return=     -3141, Steps=100.0, Features = 1000
    40: >>> E[0:00:31]-R[0:00:46]: Return=    -473.4, Steps=100.0, Features = 1000
    50: >>> E[0:00:39]-R[0:00:39]: Return=    -473.3, Steps=100.0, Features = 1000
    60: >>> E[0:00:48]-R[0:00:32]: Return=    -473.3, Steps=100.0, Features = 1000
    70: >>> E[0:00:58]-R[0:00:25]: Return=    -941.6, Steps=100.0, Features = 1000
    80: >>> E[0:01:08]-R[0:00:17]: Return=    -810.9, Steps=100.0, Features = 1000
    90: >>> E[0:01:18]-R[0:00:09]: Return=    -710.8, Steps=100.0, Features = 1000
   100: E[0:01:29]-R[0:00:00]: Return=     -1589, Steps= 100, Features = 1000
   100: >>> E[0:01:29]-R[0:00:00]: Return=    -461.8, Steps=100.0, Features = 1000
Total Experiment Duration 0:01:29
     0: >>> E[0:00:00]-R[?]: Return=     -1013, Steps=100.0, Features = 1000
    10: >>> E[0:00:08]-R[0:01:09]: Return=    -246.5, Steps=100.0, Features = 1000
    20: >>> E[0:00:15]-R[0:01:01]: Return=     -3571, Steps=100.0, Features = 1000
    30: >>> E[0:00:23]-R[0:00:53]: Return=     -3141, Steps=100.0, Features = 1000
    40: >>> E[0:00:31]-R[0:00:47]: Return=    -473.4, Steps=100.0, Features = 1000
    50: >>> E[0:00:42]-R[0:00:42]: Return=    -473.3, Steps=100.0, Features = 1000
    60: >>> E[0:00:51]-R[0:00:34]: Return=    -473.4, Steps=100.0, Features = 1000
    70: >>> E[0:01:01]-R[0:00:26]: Return=    -941.6, Steps=100.0, Features = 1000
    80: >>> E[0:01:11]-R[0:00:18]: Return=    -810.9, Steps=100.0, Features = 1000
    90: >>> E[0:01:21]-R[0:00:09]: Return=    -710.8, Steps=100.0, Features = 1000
   100: E[0:01:32]-R[0:00:00]: Return=     -1590, Steps= 100, Features = 1000
   100: >>> E[0:01:32]-R[0:00:00]: Return=    -843.9, Steps=100.0, Features = 1000
Total Experiment Duration 0:01:32
     0: >>> E[0:00:00]-R[?]: Return=     -1013, Steps=100.0, Features = 1000
    10: >>> E[0:00:08]-R[0:01:10]: Return=    -246.5, Steps=100.0, Features = 1000
    20: >>> E[0:00:15]-R[0:01:00]: Return=     -3571, Steps=100.0, Features = 1000
    30: >>> E[0:00:23]-R[0:00:53]: Return=     -3141, Steps=100.0, Features = 1000
    40: >>> E[0:00:34]-R[0:00:51]: Return=    -473.4, Steps=100.0, Features = 1000
    50: >>> E[0:00:43]-R[0:00:43]: Return=    -473.4, Steps=100.0, Features = 1000
    60: >>> E[0:00:52]-R[0:00:34]: Return=    -473.3, Steps=100.0, Features = 1000
    70: >>> E[0:01:01]-R[0:00:26]: Return=    -941.6, Steps=100.0, Features = 1000
    80: >>> E[0:01:11]-R[0:00:18]: Return=    -810.9, Steps=100.0, Features = 1000
    90: >>> E[0:01:21]-R[0:00:09]: Return=    -710.8, Steps=100.0, Features = 1000
   100: E[0:01:32]-R[0:00:00]: Return=     -1590, Steps= 100, Features = 1000
   100: >>> E[0:01:32]-R[0:00:00]: Return=    -843.8, Steps=100.0, Features = 1000
Total Experiment Duration 0:01:32
     0: >>> E[0:00:00]-R[?]: Return=     -5167, Steps=100.0, Features = 1000
   100: E[0:00:00]-R[0:00:01]: Return=     -5167, Steps= 100, Features = 1000
   100: >>> E[0:00:00]-R[0:00:01]: Return=     -5167, Steps=100.0, Features = 1000
   200: >>> E[0:00:00]-R[0:00:01]: Return=     -5167, Steps=100.0, Features = 1000
   300: >>> E[0:00:00]-R[0:00:01]: Return=     -5167, Steps=100.0, Features = 1000
   400: >>> E[0:00:01]-R[0:00:01]: Return=     -5167, Steps=100.0, Features = 1000
   500: >>> E[0:00:01]-R[0:00:01]: Return=     -5167, Steps=100.0, Features = 1000
   600: >>> E[0:00:01]-R[0:00:01]: Return=     -5167, Steps=100.0, Features = 1000
   700: >>> E[0:00:01]-R[0:00:00]: Return=     -5167, Steps=100.0, Features = 1000
   800: >>> E[0:00:01]-R[0:00:00]: Return=     -5167, Steps=100.0, Features = 1000
   900: >>> E[0:00:01]-R[0:00:00]: Return=     -5167, Steps=100.0, Features = 1000
  1000: >>> E[0:00:01]-R[0:00:00]: Return=     -5167, Steps=100.0, Features = 1000
Total Experiment Duration 0:00:01
     0: >>> E[0:00:00]-R[?]: Return=     -1013, Steps=100.0, Features = 1000
   100: E[0:00:54]-R[0:08:06]: Return=    -816.4, Steps= 100, Features = 1000
   100: >>> E[0:00:54]-R[0:08:06]: Return=     -4192, Steps=100.0, Features = 1000
   200: E[0:01:51]-R[0:07:22]: Return=     -1046, Steps= 100, Features = 1000
   200: >>> E[0:01:51]-R[0:07:22]: Return=    -462.7, Steps=100.0, Features = 1000
   300: E[0:03:04]-R[0:07:09]: Return=    -601.6, Steps= 100, Features = 1000
   300: >>> E[0:03:04]-R[0:07:09]: Return=     -3841, Steps=100.0, Features = 1000
   400: E[0:04:28]-R[0:06:42]: Return=     -1075, Steps= 100, Features = 1000
   400: >>> E[0:04:28]-R[0:06:42]: Return=     -3825, Steps=100.0, Features = 1000
   500: E[0:05:58]-R[0:05:58]: Return=    -604.7, Steps= 100, Features = 1000
   500: >>> E[0:05:58]-R[0:05:58]: Return=     -3746, Steps=100.0, Features = 1000
   600: E[0:07:28]-R[0:04:59]: Return=    -994.9, Steps= 100, Features = 1000
   600: >>> E[0:07:28]-R[0:04:59]: Return=     -1392, Steps=100.0, Features = 1000
